"","CommunicationServicesAvg","IndustrialsAvg","UtilitiesAvg","EnergyAvg","FinancialsAvg","InformationTechAvg","ConsumerDiscretionaryAvg","RealEstateAvg","HealthcareAvg","MaterialsAvg","ConsumerStaplesAvg"
"333",80.2836910161105,144.439772283876,59.6757668791146,79.1073323954707,126.896236124173,156.477462695195,295.664876874888,105.892596244812,203.688667554704,109.830730267933,100.845905303955
"334",79.0457163290544,140.517020894335,58.8511473557045,75.6487552394038,123.695502133437,151.467098162724,289.472792157587,103.013412414059,201.007110459464,105.869179998125,98.6601072259852
"335",81.2384910150007,144.248151816331,60.029865922599,76.5861048491105,126.826391555894,155.46175127763,296.867089838352,106.960203232304,205.41912952302,108.87058533941,99.7903057820088
"336",81.7234270789406,147.960354557285,61.2397490205436,77.3525751362676,128.56581276907,157.613387636038,301.455340169511,108.499415920627,207.032969414242,111.24272448676,101.191355679486
"337",82.7969284491105,146.098170639633,60.5702730704998,79.4748467984406,126.747052985178,156.735591609661,294.791686354943,105.857267564343,203.334700811477,109.903910739081,100.694201959146
"338",82.6674193035472,143.377231189183,59.1047069286478,79.681226440098,124.521608339229,156.931164316031,292.312315994839,105.424858708535,201.520457449413,108.762097392763,99.35673827094
"339",84.2809669754722,146.832286326916,60.1777356246422,82.0894012865813,127.677366149258,161.2963353964,298.560228815619,106.336615470148,205.525548571632,112.550003732954,100.929452947668
"340",84.4772509661588,148.864424346329,60.5546439598347,82.5077885337497,129.57509810488,163.051473397475,301.366163919557,106.08711378036,209.467787243071,112.494159834726,102.63539278185
"341",86.6615215648305,151.429572848531,61.7022249945279,82.3957361967667,131.89750884956,166.625398430457,311.243175092733,110.301175517421,213.656580758473,115.622834001269,104.447273872994
"342",85.2928994785656,151.595980458445,61.6719763196748,83.5772707565971,132.25159416736,166.139632122333,306.544679983607,109.812865595664,216.593163414607,115.389608349119,104.994279088201
"343",83.7481481378729,152.927191858168,62.1713910924977,83.7007145259691,133.651220858937,167.030341441815,308.426594662217,109.6967747596,213.479348863874,115.46678856441,105.347876883842
"344",85.7133453976024,156.699536335933,63.9330904072728,83.3652694536292,137.548405056268,172.0875757951,314.783449011029,112.331558412121,216.452373277573,116.651063033513,107.559680835621
"345",84.6490534002131,156.612314422409,63.4262977139703,84.055872378142,136.262687723402,170.745575567392,313.02304877875,112.189336530624,216.411655426025,115.885869979858,106.758564201561
"346",83.8121641332453,156.659678756417,63.591120851451,84.8903005019478,136.489687180855,169.890476080088,313.64323416296,111.938497912499,217.159482229324,115.986436911992,106.481143126617
"347",81.5440783934159,152.797782551159,62.9509045502235,82.8982050522514,133.910534643791,164.043429389367,303.032878839745,108.639146066481,212.389775457836,112.764207908085,104.189209190575
"348",80.1222691102462,153.720517839704,63.1676498281545,84.6721278480861,131.934670528895,160.999031712459,302.788921248238,109.24940343057,211.175667777894,114.384051527296,103.995427930677
"349",80.1661170612682,155.360042609178,63.6813545555904,85.5956950809644,134.177811004746,163.179403407757,306.791313639227,111.051586366469,214.145481336684,117.518476894924,105.049361976417
"350",81.1449589729309,156.677004033869,62.5889401271426,87.2141799926758,135.775048632017,165.633704478924,306.406826649072,110.554926903017,216.057692906213,118.523685285023,105.862311801395
"351",80.7459270737388,158.376778565444,63.1062813134029,87.2918874491816,136.914410604558,168.164342220013,306.606295045817,110.889358766617,217.297543283493,120.375604731696,106.233694437388
"352",79.0827400467613,156.046186026041,62.5937750586148,82.7904671378758,134.590671472146,165.0177881681,302.747087082773,109.87582080595,215.123000962394,118.147173098155,104.520170366442
"353",83.7358212471008,163.883699070324,65.5932115028645,84.8477711884872,142.588912802683,180.365002573453,322.229918983747,118.195694585,224.420415227375,125.265578542437,107.413499162004
"354",86.5579543547196,163.033940488642,64.7310093517961,87.4419291952382,143.248023691312,183.419950954731,324.076903217244,117.990446213753,224.079160644895,126.581215483802,107.329751607534
"355",86.081280968406,161.842470466317,64.0063829421997,87.0925593998121,140.714299806407,181.325058262165,319.923283648941,114.956874109084,222.264456188868,125.802991288049,106.399491078145
"356",87.4630695689808,163.480039732797,64.7405392548134,88.5989742279053,141.515657062262,184.980505796579,325.040858484664,116.733840142527,222.16127669622,125.446640559605,107.848410529059
"357",86.6200060410933,162.351587617552,65.268943983933,86.3549254044242,141.104881756742,181.1529405007,324.034038183824,115.765928576069,221.018735779656,124.31845661572,107.546813964844
"358",85.5907114635815,161.720697291486,64.2058596117743,86.7190202630085,140.058382853656,179.708760745709,319.046375292652,114.701965147449,219.095098631723,123.142146485192,107.85721268525
"359",84.6639453714544,163.025252119287,65.6835715195229,85.7011848117994,141.024381503253,180.100909247765,321.151647423798,116.202050485919,221.344817691379,124.059643098286,108.946290815199
"360",84.0891868851402,163.452547122906,66.0135339210774,84.2341272105342,141.437504593755,178.767198782701,319.967857162907,117.03485925736,221.270166306269,124.798130682536,109.592367223791
"361",85.6572255654768,164.716222416271,66.5169905300798,87.1399348715077,142.9806088461,182.173668744014,325.430303609596,117.419704991002,224.100190162659,127.461610487529,110.075022207724
"362",86.7261859720404,165.406383539175,67.2155585124575,86.1859820822011,143.641297998563,183.722412578876,327.545969657178,117.931508587253,224.887178542122,127.795101506369,110.308269913132
"363",86.3192795406688,166.032270134269,67.6548219220391,85.9427240620488,144.447462175933,183.289893517127,329.038808228835,118.540217184251,226.041260855538,127.670952592577,110.485945005675
"364",85.1249850013039,162.808612897799,67.0585319584814,83.4634589319643,141.848141629931,180.133869831379,326.840141602282,115.76362732918,223.658964172242,124.871734585081,109.86754989624
"365",85.2045885866338,163.088587686613,66.626666200572,84.752995947133,141.952991861693,178.874586457473,330.512910554994,117.487368060697,222.945714375329,125.212498222079,109.454019907359
"366",88.7060246034102,166.449757761769,68.2734070153072,84.9235703841499,145.017969494135,187.282812764094,338.64670132691,120.330832327566,229.453666883802,128.212358576911,111.686699119774
"367",89.3038383397189,166.837775688667,68.1222850865331,84.5477042820143,145.24777930891,188.112821285541,340.103609588911,120.272297459264,231.062614758809,128.166763101305,109.943534747974
"368",89.7957230914723,167.484810779621,67.7339766272183,84.08126217386,145.003288040698,186.652414116493,339.50145714238,119.574982858473,231.158429554531,129.816392557962,110.497814487767
"369",88.2252896048806,164.144253086734,67.3153791427612,81.3321639351222,142.384569409867,182.641555257944,334.226025995218,117.658456802368,227.40106435806,126.962038346699,108.94380559148
"370",85.4222163720564,162.1790154197,67.7633016520533,79.1975399514903,141.503271210362,179.344614116962,328.564628763019,116.668254483131,225.839217155699,125.793322018215,108.237706777212
"371",85.2560658888384,162.198205861178,67.3244755185884,79.0104839490808,140.780474582189,178.893952399034,329.233818755959,116.942650148945,227.981759843372,125.564666373389,108.66347689242
"372",85.2150977741588,163.315572466169,67.9189580720046,77.9690123019011,141.058135583367,182.032206623371,332.036838333562,117.787218093872,230.004815237863,126.04485804694,109.228279938569
"373",85.9041652679443,162.035632059172,67.7784627717117,76.0656432276187,140.385723919936,180.830124136118,328.338078786742,117.283240410589,226.798320936778,125.105001108987,108.181225853997
"374",86.3921787088568,164.766117851455,69.1373544232599,78.3318088365638,142.013045257246,184.23014125824,332.197977551874,118.348242544359,228.972595245119,126.380316087178,109.209418528789
"375",87.8585475141352,165.409216979881,69.3689510082377,79.76862384962,142.832638633083,187.356230427669,330.59101448419,120.929165747858,231.059304918562,128.241034984589,108.915151956919
"376",84.5903806686402,164.979889163723,69.1650980587664,79.4707832336425,140.924260475266,185.639220105685,329.243854252797,119.84496448886,230.175064026363,126.285384212221,109.076942650048
"377",80.7763564369895,160.738900593349,68.2912657507535,79.1772619330364,137.806494363597,178.731883988014,327.008772094295,118.131012301291,225.384431778438,122.499477011817,107.110475076212
"378",80.399712822654,159.626677859913,67.1352949471309,77.9819716577945,136.782422173191,176.802574377794,324.286725422122,114.724267190503,222.765368052891,121.808271203722,106.646466229413
"379",79.2328790317882,158.811574911142,66.8322784489599,77.8705606875212,135.594887155882,174.748192816514,319.374667365596,113.284651171777,221.144006986467,120.082309688841,106.14926126841
"380",79.6212100549178,158.91920180135,66.7958116202519,78.905156923377,135.604043517314,175.241338025607,318.620249874187,112.814576179751,221.632842896477,120.671731540135,105.894191329544
"381",81.3065156503157,161.836561438325,67.7094152384791,80.6368914894436,138.209676930602,178.664970280574,323.257944484927,114.072576891991,225.395259554424,121.638552256993,106.9930245683
"382",80.9476392919367,159.550740217234,67.3341153243492,78.5234499392301,136.834595425028,173.926048498887,319.651813003252,113.40556950723,224.800440076798,120.267717599869,106.798394899111
"383",81.781287279996,160.548517487266,68.0472395009008,81.3191651054051,137.555910728347,174.148992934594,321.125115853436,114.313472286347,224.600734907483,121.096354620797,107.396111668767
"384",80.8838253888217,161.067527188883,68.5297758825894,82.1568714639415,137.509992800968,172.86997227302,322.330574143608,114.204322415013,223.95594392504,120.770299843379,107.87297666395
"385",79.8365628936074,159.093687949243,67.8966607060925,79.9654297206713,136.402076009294,170.485082288889,318.060640011194,112.665740720687,222.272167402601,119.158603566034,106.700138607541
